AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
145,"[49, 11, 11, 49, 26, 49, 19, 48]",ga_gen_200.csv:gen166,328,471,27,341.5
146,"[11, 50, 5, 38, 36, 39, 17, 41]",ga_gen_200.csv:gen168,332,474,20,342.0
147,"[14, 20, 5, 47, 47, 40, 11, 43]",ga_gen_200.csv:gen170,367,448,11,372.5
148,"[42, 22, 23, 13, 36, 38, 22, 26]",ga_gen_200.csv:gen172,259,556,11,264.5
149,"[33, 31, 17, 26, 17, 24, 23, 30]",ga_gen_200.csv:gen174,325,496,5,327.5
150,"[46, 4, 43, 26, 4, 40, 14, 22]",ga_gen_200.csv:gen176,469,352,5,471.5
151,"[20, 42, 21, 18, 27, 46, 13, 22]",ga_gen_200.csv:gen178,531,287,8,535.0
152,"[42, 13, 37, 26, 11, 23, 32, 42]",ga_gen_200.csv:gen180,436,372,18,445.0
153,"[33, 12, 31, 37, 32, 19, 15, 23]",ga_gen_200.csv:gen182,552,272,2,553.0
154,"[30, 50, 32, 15, 33, 24, 22, 23]",ga_gen_200.csv:gen184,413,403,10,418.0
155,"[34, 13, 30, 27, 31, 29, 36, 23]",ga_gen_200.csv:gen186,521,295,10,526.0
156,"[33, 14, 30, 26, 31, 28, 35, 24]",ga_gen_200.csv:gen188,509,309,8,513.0
157,"[24, 25, 31, 20, 33, 16, 33, 31]",ga_gen_200.csv:gen190,340,483,3,341.5
158,"[40, 33, 31, 12, 27, 24, 35, 13]",ga_gen_200.csv:gen192,447,372,7,450.5
159,"[26, 25, 36, 28, 47, 27, 8, 50]",ga_gen_200.csv:gen194,433,371,22,444.0
160,"[23, 7, 42, 8, 16, 14, 34, 23]",ga_gen_200.csv:gen196,399,417,10,404.0
161,"[40, 31, 21, 20, 32, 31, 42, 40]",ga_gen_200.csv:gen198,345,469,12,351.0
162,"[11, 25, 47, 1, 29, 25, 9, 26]",ga_gen_200.csv:gen199,478,343,5,480.5
163,"[7, 0, 44, 10, 44, 23, 19, 22]",ga_gen_500.csv:gen0,474,348,4,476.0
164,"[36, 35, 30, 22, 33, 34, 35, 33]",ga_gen_500.csv:gen2,370,449,7,373.5
165,"[35, 10, 1, 32, 11, 37, 24, 48]",ga_gen_500.csv:gen4,368,428,30,383.0
166,"[32, 6, 37, 36, 39, 17, 40, 27]",ga_gen_500.csv:gen6,506,313,7,509.5
167,"[32, 6, 37, 36, 39, 17, 40, 27]",ga_gen_500.csv:gen8,506,313,7,509.5
168,"[23, 25, 27, 29, 21, 21, 30, 22]",ga_gen_500.csv:gen10,339,483,4,341.0
169,"[15, 36, 50, 17, 25, 41, 48, 7]",ga_gen_500.csv:gen12,376,443,7,379.5
170,"[25, 20, 30, 29, 36, 18, 42, 26]",ga_gen_500.csv:gen14,231,590,5,233.5
171,"[3, 6, 48, 17, 33, 9, 31, 42]",ga_gen_500.csv:gen16,390,424,12,396.0
172,"[21, 7, 2, 30, 18, 45, 43, 42]",ga_gen_500.csv:gen18,323,455,48,347.0
173,"[3, 32, 32, 32, 1, 42, 29, 50]",ga_gen_500.csv:gen20,424,393,9,428.5
174,"[35, 26, 12, 18, 17, 23, 22, 34]",ga_gen_500.csv:gen22,299,513,14,306.0
