AI_ID,Genome,Sources
299,"[19, 24, 0, 12, 11, 22, 29, 15]",ga_gen_500.csv:gen272
300,"[11, 12, 26, 48, 23, 42, 37, 42]",ga_gen_500.csv:gen274
301,"[40, 19, 45, 32, 30, 42, 44, 22]",ga_gen_500.csv:gen276
302,"[31, 31, 22, 44, 27, 34, 19, 38]",ga_gen_500.csv:gen278
303,"[33, 9, 31, 21, 22, 19, 32, 26]",ga_gen_500.csv:gen280
304,"[17, 34, 30, 28, 47, 13, 35, 34]",ga_gen_500.csv:gen282
305,"[13, 34, 31, 46, 34, 25, 32, 41]",ga_gen_500.csv:gen284
306,"[4, 36, 20, 17, 29, 27, 22, 26]",ga_gen_500.csv:gen286
307,"[2, 0, 22, 19, 17, 28, 29, 17]",ga_gen_500.csv:gen288
308,"[38, 16, 28, 24, 23, 14, 37, 16]",ga_gen_500.csv:gen290
309,"[5, 22, 4, 39, 22, 20, 27, 34]",ga_gen_500.csv:gen292
310,"[6, 24, 6, 39, 26, 17, 27, 28]",ga_gen_500.csv:gen294
311,"[28, 21, 14, 50, 50, 31, 28, 37]",ga_gen_500.csv:gen296
312,"[29, 31, 21, 42, 14, 5, 2, 28]",ga_gen_500.csv:gen298
313,"[3, 1, 23, 9, 3, 14, 22, 36]",ga_gen_500.csv:gen300
314,"[38, 5, 17, 7, 49, 39, 35, 33]",ga_gen_500.csv:gen302
315,"[40, 18, 14, 26, 20, 36, 25, 33]",ga_gen_500.csv:gen304
316,"[20, 27, 24, 26, 25, 23, 30, 34]",ga_gen_500.csv:gen306
317,"[20, 27, 24, 26, 25, 23, 30, 34]",ga_gen_500.csv:gen308
318,"[21, 25, 0, 7, 19, 33, 33, 21]",ga_gen_500.csv:gen310
319,"[22, 2, 15, 20, 23, 45, 30, 14]",ga_gen_500.csv:gen312
320,"[44, 35, 11, 30, 48, 15, 14, 34]",ga_gen_500.csv:gen314
321,"[26, 27, 20, 31, 22, 19, 20, 18]",ga_gen_500.csv:gen316
322,"[13, 10, 22, 13, 24, 5, 34, 31]",ga_gen_500.csv:gen318
323,"[20, 25, 20, 18, 19, 44, 31, 13]",ga_gen_500.csv:gen320
