# Nonaga GA Run
# run_name: ga_gen_100
# timestamp: 2026-05-08T02:15:18
# raw_cli_args: --mode slurm --run-name ga_gen_100 --final-generations 100 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 100
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_100.csv
#   mode: slurm
#   run_name: ga_gen_100
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 100
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
55,0.75,0.5000000000000002,0.16666666666666666,"[28, 10, 27, 28, 26, 19, 12, 38]","[43, 43, 34, 18, 30, 36, 28, 6]","[17, 21, 43, 15, 38, 32, 12, 8]","[16, 25, 35, 46, 37, 22, 19, 35]","[24, 23, 20, 34, 8, 19, 46, 19]"
56,0.7916666666666666,0.5,0.16666666666666666,"[22, 38, 13, 49, 13, 31, 38, 33]","[25, 28, 20, 26, 34, 38, 48, 0]","[7, 27, 30, 44, 31, 10, 9, 43]","[14, 18, 33, 34, 22, 14, 35, 48]","[28, 10, 27, 28, 26, 19, 12, 38]"
57,0.7083333333333334,0.4999999999999999,0.08333333333333333,"[32, 26, 35, 34, 18, 6, 11, 42]","[34, 29, 16, 24, 19, 31, 24, 27]","[33, 32, 23, 23, 24, 34, 23, 22]","[22, 38, 13, 49, 13, 31, 38, 33]","[4, 31, 11, 31, 49, 17, 32, 3]"
58,0.8333333333333334,0.4999999999999999,0.20833333333333334,"[2, 17, 1, 12, 49, 25, 48, 40]","[47, 12, 25, 32, 37, 29, 24, 30]","[40, 42, 5, 34, 46, 49, 23, 12]","[32, 20, 41, 25, 38, 12, 31, 15]","[23, 22, 6, 16, 30, 33, 42, 29]"
59,0.75,0.4999999999999999,0.125,"[16, 22, 42, 38, 31, 14, 32, 44]","[22, 26, 22, 27, 27, 25, 26, 18]","[41, 34, 44, 5, 8, 38, 1, 22]","[9, 38, 2, 4, 12, 39, 16, 26]","[28, 13, 27, 28, 29, 38, 34, 32]"
60,0.7916666666666666,0.5000000000000001,0.22916666666666666,"[2, 1, 44, 42, 47, 4, 34, 42]","[38, 28, 44, 42, 20, 15, 49, 14]","[34, 22, 36, 33, 37, 31, 34, 10]","[50, 25, 39, 39, 2, 36, 27, 18]","[49, 15, 13, 31, 15, 46, 3, 4]"
61,0.7708333333333334,0.5000000000000001,0.22916666666666666,"[18, 40, 0, 8, 23, 7, 17, 24]","[35, 3, 39, 29, 28, 20, 34, 31]","[34, 40, 35, 12, 24, 37, 46, 0]","[7, 42, 1, 12, 7, 11, 34, 2]","[10, 40, 23, 39, 10, 41, 30, 26]"
62,0.9375,0.5,0.20833333333333334,"[6, 6, 41, 41, 39, 11, 30, 43]","[9, 14, 18, 16, 39, 36, 19, 12]","[44, 46, 9, 31, 34, 0, 32, 50]","[18, 40, 0, 8, 23, 7, 17, 24]","[8, 47, 8, 15, 21, 30, 24, 6]"
63,0.8125,0.5000000000000002,0.25,"[38, 20, 21, 10, 19, 16, 20, 14]","[6, 6, 41, 41, 39, 11, 30, 43]","[10, 14, 18, 16, 39, 36, 19, 13]","[19, 20, 19, 23, 28, 25, 36, 36]","[34, 44, 6, 23, 30, 3, 27, 40]"
64,0.7916666666666666,0.5000000000000001,0.125,"[6, 6, 41, 41, 39, 11, 30, 43]","[10, 29, 33, 15, 26, 34, 38, 18]","[15, 0, 19, 31, 32, 35, 31, 27]","[11, 8, 32, 29, 22, 24, 25, 14]","[43, 13, 30, 37, 27, 38, 44, 23]"
65,0.7916666666666666,0.5000000000000001,0.14583333333333334,"[40, 9, 44, 34, 27, 32, 40, 20]","[33, 46, 1, 16, 18, 4, 22, 40]","[35, 7, 39, 30, 27, 32, 37, 14]","[45, 49, 31, 2, 43, 27, 19, 47]","[6, 6, 41, 41, 39, 11, 30, 43]"
