Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
1,-1,-79.75,-223,"[-46, 30, -36, 36, 47, 48, -24, 44]","[37, 5, 16, -13, 1, 34, -7, 25]","[36, 18, -2, 2, -36, 45, 1, 26]","[37, 5, 16, -13, 1, 1, 1, 26]","[47, -49, -16, 11, 10, 27, -7, 46]","[10, -49, -36, 5, 47, 0, 37, 48]","[44, -11, -2, 42, -14, 2, 3, -4]","[3, 9, 6, 39, 46, 6, 0, 44]","[49, -32, -2, 42, -14, 2, 3, -4]","[36, 18, 5, 2, -36, 45, -7, -23]"
2,-1,-53.8,-122,"[-46, 30, -36, 36, 47, 48, -24, 44]","[43, 5, 16, -13, 1, 34, -7, 25]","[-46, 30, -36, 36, 47, 48, 21, -7]","[44, -11, -2, 42, -14, 2, 3, 44]","[36, 18, -2, 2, -36, 45, 1, 26]","[7, -49, 0, 5, 46, 19, 37, 48]","[0, -49, -23, 39, 47, 3, 9, 48]","[36, 18, -2, 7, 5, 45, 4, 26]","[3, 2, 21, -32, 28, 5, -24, 44]","[6, 18, -2, 7, -36, 45, 1, -4]"
3,-1,-52.9,-130,"[-46, 30, -36, 36, 47, 48, -24, 44]","[43, 5, 16, -13, 1, 34, 3, -4]","[6, 30, -36, 36, 6, 45, 10, 26]","[36, 18, 21, 8, 28, 5, 6, 3]","[37, 0, 21, -32, 28, -36, 10, 44]","[43, 5, 16, -13, 47, 48, -24, 8]","[11, 6, -32, 36, 47, 48, 21, -7]","[44, -11, -2, 42, -14, 45, 1, 26]","[-42, -49, 0, 5, 46, 19, 37, 48]","[3, 30, -36, 36, 47, 48, 21, -7]"
4,-1,-50.85,-180,"[-46, 30, -36, 36, 47, 48, -24, 44]","[3, -11, -36, 36, 47, 48, 21, -7]","[37, 28, -36, 36, 1, 34, -7, 25]","[-46, 30, -36, 36, 47, 48, -24, 25]","[3, 30, -2, 42, -14, 2, -7, 25]","[36, -11, -2, 42, -14, 45, 1, 26]","[11, 6, -36, 36, 47, 48, -24, 44]","[3, 2, 21, -32, 1, 34, -7, 44]","[11, 3, -36, 36, 6, 4, 8, 26]","[2, -11, 4, 42, -14, 2, 5, 25]"
5,0,-41.95,-117,"[2, -11, -36, 36, 47, 48, 21, -7]","[-46, 30, -36, 36, 47, 48, -24, 44]","[4, 5, -36, 36, 47, 48, -24, 25]","[11, 6, -32, 36, 47, 4, 8, 26]","[2, -11, -36, 36, 47, 48, -24, 44]","[-46, 30, -36, 36, 47, 34, -7, 25]","[36, -11, -2, 42, 1, 34, -7, 25]","[11, 3, -36, 36, 6, 48, 10, 44]","[37, 8, 0, 4, 28, -36, 6, 25]","[8, 28, -36, 36, 4, 48, -24, 7]"
6,0,-45.5,-112,"[2, -11, -36, 36, 47, 48, 21, -7]","[11, 6, -32, 36, 47, 34, 3, -4]","[-46, 30, -36, 36, 47, 48, -24, 44]","[11, 30, 4, 42, -14, 2, 5, 25]","[36, -11, -2, 42, 1, 34, -7, 25]","[36, -11, -2, 42, -14, 45, 1, 26]","[2, -11, -36, 36, 47, 2, 8, 25]","[3, 2, 21, -32, 1, 48, -24, 44]","[3, 30, -2, 36, 47, 48, -24, 7]","[3, 8, -2, 36, 2, 3, -24, 25]"
7,0,-35.1,-96,"[2, -11, -36, 36, 47, 48, 21, -7]","[5, 8, 16, 3, 2, 48, 8, 8]","[11, 30, 4, 42, -14, 2, 5, 25]","[36, -11, -36, 36, 47, 2, 8, 25]","[3, 8, -2, 36, 2, 48, 21, -7]","[36, 18, 7, 36, 1, 34, -24, 7]","[3, -11, 4, 42, 47, 34, 3, -4]","[6, -11, -2, 8, 9, 45, 1, 26]","[11, 6, -32, 36, 47, 34, -7, 25]","[3, 30, -2, 9, 9, 7, -7, 25]"
8,0,-27.95,-58,"[2, -11, -36, 36, 47, 48, 21, -7]","[11, 30, 4, 36, 1, 34, -24, 7]","[11, 30, 4, 42, -14, 34, 3, -4]","[36, -11, -32, 36, 47, 34, 3, -4]","[11, 30, -2, 9, 9, 0, 7, 25]","[3, -11, 4, 42, 47, 2, 5, 25]","[36, 18, 7, 42, -14, 2, 5, 25]","[11, 6, 7, 36, 1, 34, -24, 7]","[2, -11, -36, 36, 47, 3, 8, 26]","[11, 7, 8, 36, 47, 4, 8, 6]"
9,0,-34.35,-91,"[2, -11, -36, 36, 47, 48, 21, -7]","[11, 30, 7, 42, -14, 2, 5, 25]","[3, 30, 4, 36, 1, 34, -24, 7]","[2, 30, 4, 36, 1, 34, -24, 7]","[2, -11, -36, 36, 47, 48, 21, 6]","[11, 7, 8, 36, 47, 4, 8, -7]","[11, -11, -36, 36, 47, 3, 8, 26]","[36, 18, 4, 42, -14, 34, 3, -4]","[2, -11, -36, 36, 47, 48, 9, 25]","[3, -11, 8, 36, 47, 4, 8, 26]"
0,-1,-140.4,-311,"[20, 23, 35, 27, -48, 25, 46, -29]","[40, 25, 42, -8, -39, 3, 7, 33]","[17, 47, 2, 32, 12, -44, -6, 26]","[-39, 44, 25, -20, 16, 8, 25, 26]","[36, 26, -1, 19, 28, -35, -23, 10]","[32, -5, -25, 34, 46, -30, -29, -14]","[-19, 44, 10, 22, -45, 1, -47, 39]","[43, -45, -6, 23, -24, -32, 31, 1]","[45, 18, 26, 6, -5, -35, -36, -32]","[20, -49, 7, 29, 32, 2, -45, -35]"
1,-1,-61.3,-191,"[20, 23, 35, 27, -48, 25, 46, -29]","[36, 25, 42, -8, -39, 3, 7, 33]","[40, 25, 42, -8, -39, 3, 7, 33]","[40, 25, 42, -8, -39, 3, 7, 33]","[32, -5, -25, 34, 46, -30, 25, 26]","[7, 44, 25, 1, 16, 4, 10, -14]","[32, -5, -25, 34, 46, -30, 7, 33]","[20, 23, 35, -8, -39, 3, 7, 33]","[40, 25, 42, 27, -48, 25, 46, -29]","[40, 26, -1, 19, 28, -35, -23, 10]"
2,0,-32.15,-128,"[20, 23, 35, 27, -48, 3, 7, 33]","[20, 23, 35, 27, -48, 25, 46, -29]","[36, 25, 42, -8, -39, 3, 7, 33]","[40, 25, 42, -8, -39, 3, 7, 33]","[40, 25, 42, -8, -39, 3, 7, 33]","[40, 25, 42, -8, -39, 3, 7, 33]","[40, 26, 6, 1, 2, 4, 10, 4]","[43, 44, 25, -20, 16, 8, 25, -29]","[20, 23, 35, -8, 0, 6, 7, 33]","[20, -5, -25, 34, 46, -30, 7, 33]"
3,0,-42.15,-136,"[20, 23, 35, 27, -48, 3, 7, 33]","[32, -5, -25, 34, 10, 9, 7, 33]","[40, 25, 42, -20, 16, 8, 25, -29]","[43, 44, 25, -8, -39, 3, 7, 33]","[20, 23, -25, 34, 46, -30, 7, 33]","[20, -5, -25, 34, 46, 6, 7, 33]","[20, 23, 35, -8, 0, 6, 7, 33]","[20, 23, 35, -8, 0, 6, 7, 33]","[20, 23, 35, -8, -39, 3, 7, 33]","[20, 23, 35, 27, -48, -30, 7, 33]"
4,0,-34.35,-121,"[20, 23, 35, 27, -48, 3, 7, 33]","[20, 23, 35, 27, -48, 3, 7, 33]","[20, 23, 35, -8, 8, 6, 7, 1]","[20, 23, -25, 34, 46, -30, 7, 33]","[43, 44, 25, -8, -39, 3, 7, 33]","[40, 23, 35, 27, -48, -30, 7, 33]","[20, 25, 42, -20, 16, 8, 25, -29]","[20, 4, 35, 10, 0, 6, 7, 3]","[20, 23, 35, -8, 0, 6, 7, 33]","[20, -5, -25, 34, 10, 9, 7, 33]"
5,0,-30.5,-81,"[20, 23, 35, 27, -48, 3, 7, 33]","[43, 44, 25, 5, -39, 3, 8, 7]","[20, 23, 35, -8, 0, 6, 46, -29]","[20, 23, -25, 34, 46, -30, 7, 33]","[20, 23, 35, -8, -48, 25, 7, 33]","[20, 4, 35, 10, 0, 6, 7, 3]","[20, 23, 35, -8, 0, 6, 7, 33]","[20, -5, -25, 34, 10, 9, 7, 33]","[20, 23, 35, -8, 6, 9, 7, 33]","[43, 44, 25, -8, 8, 6, 7, 1]"
6,0,-29.5,-95,"[20, 23, 35, 27, -48, 3, 7, 33]","[43, 44, 25, 27, -48, -30, 7, 33]","[20, 23, 25, 8, 3, 4, 8, 7]","[20, 23, 35, 27, -48, 9, 7, 33]","[20, 23, 35, -8, 0, 6, 46, -29]","[20, 23, 35, -8, 8, 6, 7, 1]","[43, 44, 35, -8, -48, 25, 46, -29]","[20, 23, 35, -8, 0, 25, 46, -29]","[36, 25, 35, 27, -48, -30, 7, 33]","[20, -5, -25, 34, 10, 3, 7, 33]"
7,0,-29.5,-72,"[20, 23, 35, 27, -48, 3, 7, 33]","[43, 44, 25, 27, -48, -30, 7, 33]","[20, 23, 35, 27, -48, 6, 7, 33]","[20, 23, 35, -8, 0, 6, 46, -29]","[43, 44, 35, -8, -48, 25, 46, -29]","[20, 23, 35, -8, 8, 6, 7, 1]","[43, 44, 35, -8, -48, 3, 7, 33]","[20, 23, 25, 5, -39, 3, 8, 33]","[20, 23, 25, 8, 3, 4, 7, 33]","[20, 23, 35, 27, -48, 3, 7, 7]"
8,0,-35.05,-83,"[20, 23, 35, 27, -48, 3, 7, 33]","[20, 23, 35, -8, 8, 6, 7, 1]","[20, 23, 35, -8, 8, 6, 7, 1]","[43, 5, 25, 27, -48, 25, 6, 8]","[20, 23, 25, 5, -39, 3, 8, 33]","[43, 44, 35, -8, -48, 3, 7, 1]","[20, 23, 35, -8, 8, 6, 7, 33]","[20, 23, 35, 27, 8, 6, 7, 1]","[20, 23, 35, -8, -48, 9, 7, 33]","[20, 7, 5, 10, 6, 10, 8, 3]"
9,0,-25.4,-66,"[20, 23, 35, 27, -48, 3, 7, 33]","[20, 23, 35, 27, -48, 3, 7, 33]","[20, 23, 35, -8, 8, 10, 8, 3]","[20, 23, 35, 27, -48, 25, 6, 8]","[20, 23, 3, 27, 8, 6, 7, 1]","[20, 7, 5, 10, 6, 6, 7, 33]","[20, 23, 35, -8, 5, 1, 8, 7]","[43, 44, 0, -8, 0, 3, 6, 1]","[43, 10, 25, 8, -48, 3, 7, 33]","[7, 23, 35, -8, 8, 6, 7, 1]"
