Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
4,0,-11.0,-33,"[18, -1, 29, 27, 37, 27, -7, -30]","[9, 27, 28, 39, 25, 28, -34, -20]","[16, 2, 30, 27, 37, 26, -11, -29]","[14, 20, 36, 31, 34, 29, -38, -31]","[15, 19, 37, 29, 36, 31, -39, -33]","[6, 26, 26, 40, 23, 23, -33, -17]","[16, 17, 39, 27, 38, 31, -40, -34]","[14, 19, 36, 30, 34, 30, -38, -32]","[19, 15, 33, 33, 29, 32, -24, -30]","[18, 16, 33, 33, 32, 32, -26, -30]"
5,0,-11.2,-48,"[18, -1, 29, 27, 37, 27, -7, -30]","[18, 0, 29, 27, 37, 27, -8, -30]","[16, 2, 30, 27, 37, 26, -11, -29]","[11, 25, 26, 33, 27, 25, -32, -18]","[12, 23, 30, 37, 28, 29, -31, -24]","[14, 20, 36, 31, 33, 29, -38, -30]","[16, 16, 39, 27, 38, 31, -39, -34]","[13, 23, 30, 37, 28, 30, -30, -24]","[11, 24, 25, 30, 27, 23, -32, -17]","[6, 24, 27, 37, 26, 23, -33, -19]"
6,0,-11.1,-64,"[18, -1, 29, 27, 37, 27, -7, -30]","[15, 12, 28, 30, 32, 26, -19, -24]","[15, 19, 30, 36, 22, 30, -24, -26]","[14, 14, 27, 30, 31, 26, -21, -23]","[11, 25, 26, 33, 27, 25, -32, -18]","[16, 3, 29, 29, 33, 26, -11, -28]","[18, 13, 30, 34, 16, 29, -17, -27]","[11, 24, 27, 33, 28, 26, -33, -20]","[14, 21, 35, 31, 32, 28, -37, -28]","[14, 20, 36, 31, 33, 29, -38, -30]"
7,0,-6.7,-29,"[18, -1, 29, 27, 37, 27, -7, -30]","[15, 12, 28, 30, 32, 26, -19, -24]","[12, 21, 29, 37, 23, 28, -26, -24]","[14, 20, 30, 36, 23, 29, -25, -25]","[14, 14, 27, 30, 31, 26, -21, -23]","[16, 10, 33, 29, 35, 28, -23, -30]","[14, 17, 34, 31, 32, 28, -31, -28]","[16, 9, 32, 29, 35, 28, -22, -30]","[12, 23, 27, 33, 27, 27, -32, -21]","[16, 7, 30, 29, 33, 26, -17, -28]"
8,0,-13.9,-98,"[18, -1, 29, 27, 37, 27, -7, -30]","[15, 13, 30, 30, 32, 27, -22, -25]","[12, 21, 29, 37, 23, 28, -26, -24]","[18, -1, 29, 27, 37, 27, -7, -30]","[16, 6, 28, 28, 34, 27, -13, -27]","[16, 7, 28, 29, 34, 26, -15, -26]","[14, 20, 30, 36, 23, 29, -25, -25]","[10, 16, 19, 30, 9, 25, -4, -2]","[11, 22, 25, 32, 23, 27, -26, -17]","[16, 9, 32, 29, 35, 28, -22, -30]"
9,0,-9.5,-39,"[18, -1, 29, 27, 37, 27, -7, -30]","[15, 15, 31, 33, 29, 29, -24, -27]","[12, 12, 21, 29, 15, 25, -5, -8]","[12, 22, 28, 36, 24, 28, -28, -23]","[15, 14, 31, 32, 29, 28, -23, -28]","[16, 3, 27, 28, 31, 27, -6, -24]","[13, 13, 27, 32, 30, 25, -20, -23]","[11, 22, 25, 32, 23, 27, -26, -17]","[9, 13, 26, 28, 19, 25, 0, -23]","[12, 22, 28, 34, 7, 10, 6, -22]"
0,-10,-91.15,-251,"[18, 6, -22, -2, 36, 37, 6, 11]","[-36, 9, 36, 13, 42, -9, 0, 35]","[44, -14, 35, 16, 39, -33, 7, 21]","[33, 11, 32, 15, -21, -14, 40, 34]","[-19, 5, 48, 31, -38, 8, 50, 45]","[16, 34, 31, -32, 18, -2, 38, 37]","[22, 45, 1, 32, -47, -30, 8, 26]","[6, 31, 2, 17, 4, 5, -32, 7]","[23, -40, 27, 15, 31, 13, -16, -19]","[-10, 4, -35, 48, 16, 32, -15, -28]"
1,-6,-42.05,-103,"[15, -20, 43, 8, 48, 9, 15, -12]","[18, 6, -22, -2, 36, 37, 6, 11]","[18, 6, -22, -2, 36, 37, 6, 11]","[10, 9, 28, 11, 41, -2, 6, 8]","[17, -19, 43, 10, 48, 9, 17, -11]","[17, -7, 38, 8, 1, -9, 24, 12]","[10, 8, -14, 0, 37, 30, 5, 6]","[19, -1, -14, 1, 35, 33, 3, 6]","[43, 5, 35, 10, 4, 6, 9, 8]","[18, 9, -20, -1, 28, 32, 3, 9]"
2,-2,-20.7,-57,"[15, -21, 42, 8, 47, 9, 14, -12]","[24, 6, -8, 1, 28, 29, 7, 10]","[15, -20, 43, 8, 48, 9, 15, -12]","[17, -8, 19, 7, 33, 19, 13, -6]","[11, 9, 21, 9, 39, 3, 6, 8]","[15, -13, 30, 8, 46, 14, 14, -7]","[10, 8, 2, 0, 37, 30, 0, 6]","[18, 6, -22, -2, 36, 37, 6, 11]","[29, -21, 23, 9, 37, 11, 16, 6]","[12, 2, -1, 2, 39, 25, 8, 2]"
3,0,-9.85,-46,"[16, -10, 18, 4, 43, 20, 12, -3]","[15, -21, 41, 8, 46, 9, 14, -12]","[12, 6, 2, 3, 39, 22, 8, 9]","[15, -21, 42, 8, 47, 9, 14, -12]","[11, 8, 18, 8, 39, 6, 6, 7]","[17, -4, 3, 2, 41, 26, 9, 2]","[35, 0, 6, 10, 18, 7, 10, 9]","[15, -18, 42, 8, 47, 9, 14, -11]","[11, 7, 22, 9, 40, 3, 7, 7]","[31, 4, 16, 6, 18, 16, 8, 7]"
4,0,-8.85,-50,"[16, -10, 18, 4, 43, 20, 12, -3]","[15, -7, 15, 4, 42, 20, 11, -1]","[16, -16, 31, 6, 45, 14, 13, -8]","[6, 10, 11, 5, 39, 17, 6, 8]","[15, 3, 13, 7, 33, 11, 9, 6]","[16, -9, 14, 4, 43, 21, 10, -2]","[20, -8, 21, 5, 37, 18, 11, -1]","[18, -11, 26, 6, 41, 16, 12, -4]","[14, 2, 21, 8, 39, 9, 8, 3]","[17, -17, 37, 8, 44, 11, 14, -9]"
5,0,-7.5,-35,"[16, -10, 18, 4, 43, 20, 12, -3]","[16, -14, 28, 6, 43, 14, 13, -6]","[15, 3, 15, 7, 34, 11, 9, 6]","[17, -5, 22, 6, 37, 13, 11, 0]","[10, 5, 14, 5, 38, 17, 7, 5]","[17, -15, 30, 6, 44, 14, 13, -7]","[12, -1, 13, 4, 41, 19, 8, 2]","[4, 1, 20, 7, 37, 12, 11, 5]","[14, 2, 21, 8, 39, 9, 8, 3]","[18, -13, 30, 6, 42, 14, 13, -6]"
6,0,-5.15,-44,"[16, -10, 18, 4, 43, 20, 12, -3]","[15, -10, 24, 5, 43, 16, 11, -4]","[15, 0, 16, 6, 36, 14, 9, 4]","[16, -10, 18, 4, 43, 20, 12, -3]","[15, 3, 15, 7, 34, 11, 9, 6]","[17, -5, 21, 6, 37, 14, 11, 0]","[16, -1, 19, 6, 36, 12, 10, 3]","[14, -6, 19, 3, 42, 17, 10, -1]","[15, -3, 20, 6, 41, 13, 10, 1]","[16, -3, 19, 5, 38, 17, 10, 2]"
7,0,-6.8,-43,"[16, -10, 18, 4, 43, 20, 12, -3]","[15, 0, 16, 6, 36, 14, 9, 4]","[15, -6, 20, 5, 40, 16, 10, -1]","[16, -5, 20, 5, 39, 15, 11, 0]","[15, -10, 25, 5, 43, 16, 11, -4]","[14, -6, 19, 3, 42, 17, 10, -1]","[18, -7, 21, 5, 39, 17, 11, -2]","[18, -9, 22, 5, 40, 16, 12, -2]","[17, -9, 19, 5, 42, 19, 12, -2]","[17, -9, 20, 5, 42, 19, 12, -3]"
8,0,-7.9,-45,"[16, -10, 18, 4, 43, 20, 12, -3]","[15, -8, 22, 4, 43, 16, 11, -3]","[16, -10, 18, 4, 43, 20, 12, -3]","[16, -3, 19, 6, 37, 14, 10, 2]","[14, -8, 22, 4, 42, 17, 10, -2]","[16, -7, 22, 4, 41, 16, 11, -2]","[18, -9, 22, 5, 40, 16, 12, -2]","[15, -9, 25, 5, 42, 16, 11, -3]","[16, -8, 23, 5, 41, 16, 11, -2]","[16, -8, 25, 5, 42, 15, 11, -3]"
9,0,-9.8,-60,"[16, -10, 18, 4, 43, 20, 12, -3]","[16, -8, 21, 4, 41, 17, 11, -2]","[17, -9, 20, 5, 38, 18, 12, -1]","[16, -9, 19, 4, 43, 19, 12, -3]","[16, -10, 19, 4, 43, 20, 12, -3]","[15, -8, 23, 4, 43, 16, 11, -3]","[15, -8, 22, 4, 42, 17, 11, -2]","[16, -8, 18, 5, 41, 18, 11, -2]","[16, -6, 22, 5, 40, 15, 11, -1]","[16, -9, 22, 5, 42, 18, 11, -3]"
0,-19,-100.25,-277,"[43, -17, 32, -25, 14, 29, 29, 14]","[19, 11, 27, 18, -47, 29, 23, 40]","[-15, 29, 20, -8, 12, 9, 17, 7]","[30, -34, 41, -26, 38, 31, 11, 39]","[12, 27, 35, -47, -44, 2, 45, 39]","[10, 42, 5, 23, -40, 0, 15, 4]","[23, 10, -16, 9, 20, -36, 1, 23]","[-3, -39, 19, 36, 16, -14, -36, 39]","[-42, 29, -30, 5, 37, -46, 28, 32]","[33, -35, 16, -10, -43, -33, 49, 33]"
1,-1,-69.0,-153,"[31, 1, 33, -34, -9, 18, 35, 24]","[13, -23, 39, -24, 32, 20, 7, 27]","[24, 9, 34, -38, -21, 13, 39, 29]","[19, -19, 36, -22, 32, 26, 12, 31]","[43, -17, 32, -25, 14, 29, 29, 14]","[-1, 16, 6, 16, -25, 16, 5, 27]","[5, 10, 1, -12, 18, 6, 16, 15]","[11, 36, 5, 25, -41, -3, 10, 5]","[12, 3, 9, 9, -39, 4, 10, 38]","[-11, 11, 29, 2, -19, 8, 9, 16]"
2,0,-37.55,-95,"[17, -7, 29, -12, 16, 20, 12, 25]","[31, 1, 33, -34, -9, 18, 35, 24]","[33, -12, 31, -20, 8, 25, 25, 14]","[25, 7, 34, -37, -19, 14, 38, 28]","[11, -16, 33, 1, 22, 3, 7, 27]","[30, 3, 33, 2, -11, 9, 36, 25]","[-12, 10, 29, 1, 7, 7, 8, 15]","[-1, -11, 35, -20, 25, 13, 5, 18]","[13, 24, 12, 15, -25, 3, 10, 11]","[-1, 6, 30, -3, -13, 12, 13, 16]"
3,0,-34.25,-74,"[17, -7, 29, -12, 16, 20, 12, 25]","[20, -7, 33, 1, 6, 6, 21, 26]","[21, -6, 33, 2, 5, 6, 22, 26]","[22, -2, 34, -30, 1, 17, 26, 22]","[26, 4, 32, 2, 10, 9, 33, 0]","[16, 8, 26, -22, -17, 15, 26, 28]","[7, -14, 33, -4, 23, 5, 6, 24]","[8, -8, 34, -24, 15, 14, 14, 20]","[10, 3, 17, -4, -8, 19, 11, 23]","[10, 8, 20, -12, -17, 16, 17, 27]"
4,0,-17.85,-53,"[17, -7, 29, -12, 16, 20, 12, 25]","[23, 0, 33, -19, 4, 14, 29, 14]","[18, -7, 30, -8, 13, 16, 15, 25]","[19, -7, 32, -3, 9, 10, 18, 26]","[19, -7, 33, 1, 7, 6, 20, 26]","[25, 2, 33, -9, 7, 12, 30, 8]","[21, -6, 33, 2, 5, 6, 22, 26]","[22, -2, 34, -28, 2, 16, 27, 20]","[21, -6, 33, 2, 5, 6, 22, 26]","[21, -6, 33, 2, 5, 6, 22, 26]"
5,0,-8.6,-34,"[17, -7, 29, -12, 16, 20, 12, 25]","[23, -1, 33, -16, 4, 13, 28, 16]","[18, -6, 30, -13, 14, 19, 15, 23]","[18, -7, 30, -9, 13, 17, 14, 25]","[18, -7, 31, -6, 11, 13, 16, 25]","[22, -4, 34, -16, 3, 12, 25, 22]","[21, -4, 33, -10, 4, 10, 24, 24]","[22, -1, 32, -18, 6, 15, 26, 16]","[18, -7, 30, -8, 13, 16, 15, 25]","[19, -7, 31, -5, 11, 13, 17, 26]"
6,0,-10.25,-46,"[17, -7, 29, -12, 16, 20, 12, 25]","[17, -7, 29, -12, 16, 20, 12, 25]","[21, -2, 32, -16, 8, 15, 24, 18]","[19, -6, 30, -10, 11, 16, 17, 23]","[18, -7, 31, -8, 12, 15, 16, 24]","[18, -7, 30, -8, 13, 16, 15, 25]","[21, -4, 33, -8, 4, 10, 24, 23]","[20, -6, 32, -5, 9, 11, 19, 24]","[19, -6, 31, -5, 9, 13, 18, 25]","[20, -6, 32, -1, 7, 8, 21, 25]"
7,0,-6.85,-28,"[17, -7, 29, -12, 16, 20, 12, 25]","[17, -7, 29, -12, 16, 20, 12, 25]","[18, -7, 31, -9, 12, 15, 16, 24]","[19, -6, 30, -9, 11, 16, 17, 23]","[21, -3, 32, -13, 8, 13, 23, 20]","[18, -7, 30, -8, 13, 16, 15, 25]","[18, -7, 30, -11, 14, 19, 14, 25]","[19, -5, 25, -4, 9, 11, 19, 23]","[19, -6, 30, -7, 12, 15, 17, 24]","[20, -6, 31, -5, 10, 13, 19, 23]"
8,0,-3.35,-12,"[17, -7, 29, -12, 16, 20, 12, 25]","[18, -7, 31, -9, 12, 15, 16, 24]","[18, -7, 30, -10, 14, 17, 14, 24]","[17, -7, 30, -11, 14, 18, 14, 25]","[18, -7, 30, -11, 14, 18, 14, 25]","[18, -7, 31, -9, 12, 16, 16, 24]","[18, -7, 29, -11, 14, 18, 14, 24]","[18, -7, 30, -8, 13, 16, 15, 25]","[18, -7, 30, -7, 12, 15, 16, 25]","[18, -6, 30, -10, 13, 18, 15, 24]"
9,0,-3.2,-19,"[17, -7, 29, -12, 16, 20, 12, 25]","[17, -7, 29, -11, 15, 19, 13, 25]","[17, -7, 29, -12, 16, 20, 12, 25]","[17, -7, 29, -12, 16, 20, 12, 25]","[18, -6, 30, -10, 13, 17, 15, 24]","[18, -7, 31, -9, 12, 16, 16, 24]","[18, -7, 30, -10, 13, 17, 15, 25]","[18, -7, 30, -11, 14, 18, 14, 25]","[18, -7, 31, -9, 12, 16, 16, 24]","[18, -7, 30, -8, 13, 16, 15, 25]"
0,-13,-118.75,-233,"[-18, -35, 33, 12, 47, -21, 36, 33]","[47, -40, -44, -13, 47, 43, 23, 2]","[-42, 39, 34, -12, 22, 20, 32, -30]","[-28, -16, -8, 33, 49, 30, -37, 38]","[-15, 1, 36, 15, -41, 43, -32, 47]","[-13, -17, 15, 10, 23, 30, 2, -26]","[32, 1, 11, -19, 0, -7, -16, 16]","[-39, -24, 41, 27, 48, 14, -42, -18]","[8, -12, 22, -24, 1, -40, -1, 48]","[-1, -40, -20, 20, 21, -40, 12, 38]"
1,-13,-63.55,-158,"[-18, -35, 33, 12, 47, -21, 36, 33]","[-25, 5, 3, 28, 26, 33, -36, 40]","[-16, -16, 35, 14, 1, 12, 1, 40]","[-17, -18, 34, 13, 5, 10, 3, 40]","[-23, -9, 10, 26, 13, 35, -35, 42]","[-18, -3, 25, 20, -18, 40, -33, 45]","[-28, 19, 35, 2, -11, 32, -1, 10]","[-20, -6, 18, 22, -5, 38, -34, 43]","[8, -12, 22, -24, 5, 8, -1, 48]","[-15, 1, 36, 15, -41, 43, -32, 47]"
2,-12,-45.95,-109,"[-17, 3, 34, 13, 2, 11, 2, 40]","[-18, -35, 33, 12, 47, -21, 36, 33]","[-18, -35, 33, 12, 47, -21, 36, 33]","[-18, 6, 5, 12, 47, 4, 36, 33]","[-16, -17, 35, 14, 2, 11, 2, 40]","[-16, -14, 35, 14, -3, 15, -2, 41]","[-18, -15, 34, 12, 3, 12, 3, 37]","[-27, 16, 35, 3, -9, 30, -1, 13]","[-21, 9, 4, 23, -2, 37, -34, 43]","[-22, -8, 11, 25, 10, 36, -35, 42]"
3,-10,-38.95,-97,"[-17, 3, 16, 12, 13, 17, 10, 36]","[-17, 3, 34, 13, 2, 11, 2, 40]","[-18, -35, 33, 12, 47, -21, 36, 33]","[-17, 3, 20, 13, 4, 21, 3, 37]","[-18, -31, 33, 12, 38, -14, 29, 34]","[-17, -25, 34, 13, 23, -4, 18, 37]","[-17, -25, 34, 13, 22, -3, 17, 37]","[-17, -24, 34, 13, 21, -2, 16, 37]","[-17, -27, 34, 10, 27, 6, 6, 36]","[-16, -15, 33, 15, 2, 13, -1, 40]"
4,-9,-31.7,-112,"[-16, -2, 32, 14, 1, 32, 8, 40]","[-17, 3, 16, 12, 13, 17, 10, 36]","[-18, -27, 30, 12, 40, -13, 31, 34]","[-18, -19, 28, 12, 29, -3, 22, 35]","[-17, -13, 25, 13, 22, 3, 17, 35]","[-17, -1, 22, 13, 8, 16, 6, 37]","[-18, -27, 31, 12, 34, -9, 26, 34]","[-18, -32, 33, 12, 40, -16, 30, 34]","[8, -28, 34, 13, 29, 7, 23, 36]","[-17, -23, 34, 13, 19, -1, 15, 37]"
5,-5,-26.35,-49,"[-17, -6, 29, 14, 6, 27, 3, 39]","[-16, -2, 32, 14, 1, 32, 8, 40]","[-18, -22, 29, 12, 32, -6, 24, 35]","[-18, -24, 29, 12, 35, -6, 22, 35]","[-17, -11, 27, 14, 12, 21, -2, 39]","[-18, -30, 32, 12, 37, -13, 28, 34]","[-18, -18, 30, 12, 22, 1, 17, 36]","[5, -17, 24, 12, 18, -1, 13, 26]","[-20, -6, 18, 3, 7, 23, 9, 41]","[-18, -18, 29, 15, 16, 7, 5, 38]"
6,-4,-15.8,-37,"[-16, -6, 31, 14, 7, 24, 11, 39]","[-17, -6, 29, 14, 6, 27, 3, 39]","[-17, -10, 29, 14, 12, 20, 7, 38]","[-18, -18, 30, 12, 26, 2, 21, 36]","[-17, 10, 29, 9, 11, 1, 9, 39]","[-7, -11, 27, 13, 11, 14, 8, 33]","[-18, -20, 29, 12, 29, 1, 18, 36]","[-5, -12, 26, 13, 13, 12, 8, 32]","[-18, -21, 29, 12, 30, -4, 23, 35]","[10, 8, 29, 14, 8, 2, 4, 39]"
7,-2,-17.8,-51,"[-6, -8, 29, 13, 20, 1, 12, 37]","[-2, -4, 29, 13, 17, 2, 10, 38]","[-16, -6, 31, 14, 7, 24, 11, 39]","[-17, -7, 29, 14, 7, 26, 4, 39]","[-18, -20, 29, 12, 29, 1, 18, 36]","[-18, -11, 26, 10, 13, 18, 10, 38]","[-13, -11, 25, 9, 13, 14, 11, 36]","[-18, -18, 28, 13, 24, 7, 11, 37]","[10, -11, 5, 9, 14, 6, 11, 39]","[-18, -28, 31, 12, 35, -10, 25, 35]"
8,0,-16.65,-77,"[-6, -5, 29, 13, 14, 9, 8, 38]","[-17, -7, 30, 13, 8, 22, 11, 39]","[-6, -8, 29, 13, 20, 1, 12, 37]","[-13, -6, 29, 14, 10, 19, 6, 39]","[7, -11, 26, 10, 8, 9, 6, 39]","[-9, -9, 26, 10, 14, 10, 11, 37]","[-17, -9, 28, 13, 9, 22, 5, 39]","[-17, -13, 28, 12, 15, 15, 11, 38]","[-18, -15, 28, 11, 18, 12, 13, 38]","[-11, 4, 25, 6, 8, 10, 8, 36]"
9,0,-16.05,-48,"[-6, -5, 29, 13, 14, 9, 8, 38]","[-12, -3, 28, 12, 9, 17, 7, 38]","[7, -11, 26, 10, 8, 9, 6, 39]","[6, -10, 22, 9, 10, 9, 7, 39]","[-10, 6, 27, 9, 7, 5, 10, 38]","[-17, -9, 28, 13, 10, 21, 6, 38]","[-16, -14, 28, 11, 17, 12, 13, 38]","[-9, -12, 28, 12, 13, 8, 11, 38]","[6, 9, 27, 11, 13, 10, 10, 2]","[-12, 1, 26, 8, 9, 12, 7, 37]"
0,-6,-110.35,-244,"[18, -4, 47, 8, -21, -45, 49, 42]","[4, 25, -14, 35, 15, 34, -8, 20]","[41, -12, -3, -44, 37, 20, 44, 50]","[44, -26, 30, 26, 24, -4, 15, 34]","[16, 17, -2, -12, 34, 26, 30, 36]","[14, 32, -16, -21, 23, 24, 14, -28]","[7, 48, 10, 28, 5, -43, 18, -50]","[-43, -13, 19, 37, 35, -24, -1, -1]","[23, 27, -16, 25, -43, -19, 25, -14]","[-14, 2, 50, -49, -29, 3, 24, 7]"
1,-4,-70.1,-151,"[5, 29, -10, 34, 13, 21, -4, 8]","[18, -4, 47, 8, -21, -45, 49, 42]","[13, -12, 4, -17, 36, 5, 29, 33]","[4, 25, -14, 35, 15, 34, -8, 20]","[4, 25, -14, 35, 15, 34, -8, 20]","[16, 20, -5, -14, 32, 26, 27, 22]","[41, -12, -3, -44, 37, 20, 44, 50]","[41, -12, -3, -44, 37, 20, 44, 50]","[14, 29, -13, -19, 25, 24, 17, -14]","[6, 44, 6, 29, 7, -30, 14, -38]"
2,-2,-27.7,-62,"[10, 1, -2, 1, 29, 15, 16, 28]","[5, 29, -10, 34, 13, 21, -4, 8]","[7, 12, -8, 17, 22, 24, 5, 25]","[4, 25, -14, 35, 15, 34, -8, 20]","[4, 25, -14, 35, 15, 34, -8, 20]","[4, 25, -14, 35, 15, 34, -8, 20]","[5, 25, -13, 32, 16, 33, -6, 20]","[14, 22, -6, -6, 29, 25, 22, 20]","[15, 20, -6, -11, 31, 27, 25, 22]","[7, 27, -9, 26, 16, 2, 1, 7]"
3,-1,-13.75,-40,"[8, 8, -5, 10, 25, 20, 9, 26]","[10, 1, -2, 1, 29, 15, 16, 28]","[7, 14, -8, 19, 21, 24, 4, 23]","[5, 27, -10, 32, 14, 21, -3, 10]","[8, 27, -9, 22, 18, 22, 4, 12]","[12, 8, -3, -3, 30, 19, 19, 26]","[4, 25, -14, 35, 15, 34, -8, 20]","[4, 25, -14, 35, 15, 34, -8, 20]","[16, 16, -2, -17, 28, 24, 25, 22]","[5, 25, -13, 32, 16, 33, -6, 20]"
4,0,-8.3,-23,"[8, 9, -5, 10, 25, 20, 9, 24]","[8, 8, -5, 10, 25, 20, 9, 26]","[6, 26, -10, 28, 16, 22, -1, 12]","[10, 1, -2, 1, 29, 15, 16, 28]","[11, 10, -4, 10, 28, 21, 16, 6]","[6, 26, -11, 28, 16, 25, -1, 14]","[9, 10, -6, 10, 25, 22, 10, 25]","[8, 15, -8, 14, 23, 24, 7, 23]","[6, 25, -11, 27, 17, 27, -1, 16]","[13, 13, -5, -7, 30, 4, 22, 24]"
5,0,-6.95,-22,"[8, 9, -5, 10, 25, 20, 9, 24]","[10, 2, -2, 1, 29, 15, 16, 28]","[10, 1, -2, 1, 29, 15, 16, 28]","[10, 1, -2, 1, 29, 15, 16, 28]","[10, 5, -3, 5, 29, 18, 16, 18]","[12, 15, -6, -3, 28, 9, 19, 23]","[10, 16, -6, 5, 23, 23, 12, 21]","[11, 11, -5, 0, 28, 10, 17, 24]","[8, 22, -9, 20, 19, 24, 4, 17]","[9, 20, -8, 14, 21, 24, 7, 18]"
6,0,-4.4,-21,"[8, 9, -5, 10, 25, 20, 9, 24]","[10, 7, -4, 7, 28, 19, 15, 18]","[10, 6, -4, 5, 27, 17, 13, 26]","[10, 3, -2, 1, 29, 15, 16, 28]","[11, 5, -3, 0, 29, 13, 17, 26]","[11, 10, -4, 1, 29, 14, 17, 20]","[8, 20, -8, 18, 20, 23, 5, 17]","[8, 17, -7, 16, 21, 22, 7, 19]","[11, 11, -5, -2, 28, 11, 18, 25]","[10, 6, -3, 4, 29, 16, 16, 19]"
7,0,-3.1,-32,"[8, 9, -5, 10, 25, 20, 9, 24]","[10, 14, -7, 9, 25, 17, 12, 20]","[9, 6, -4, 6, 27, 18, 12, 26]","[10, 10, -4, 5, 26, 19, 14, 19]","[10, 13, -6, 7, 25, 20, 12, 20]","[10, 4, -2, 2, 29, 15, 16, 25]","[10, 13, -6, 8, 24, 21, 12, 19]","[10, 6, -3, 5, 29, 17, 16, 19]","[11, 10, -5, 3, 26, 17, 14, 23]","[11, 7, -3, 0, 29, 13, 17, 24]"
8,0,-1.75,-19,"[8, 9, -5, 10, 25, 20, 9, 24]","[10, 14, -7, 9, 25, 17, 12, 20]","[10, 14, -7, 9, 25, 17, 12, 20]","[10, 12, -6, 8, 26, 17, 13, 20]","[9, 13, -6, 10, 25, 19, 11, 19]","[10, 7, -3, 5, 28, 17, 16, 20]","[8, 9, -5, 9, 25, 20, 10, 24]","[5, 2, 5, 3, 29, 16, 16, 23]","[10, 6, -3, 2, 29, 15, 16, 24]","[10, 8, -4, 6, 28, 17, 15, 19]"
9,0,-5.6,-34,"[8, 9, -5, 10, 25, 20, 9, 24]","[7, 7, 0, 6, 27, 18, 13, 22]","[10, 12, -6, 8, 25, 18, 12, 21]","[9, 5, 0, 2, 29, 15, 17, 23]","[9, 13, -6, 10, 25, 19, 11, 19]","[10, 10, -5, 6, 26, 17, 13, 22]","[10, 12, -5, 6, 26, 19, 13, 20]","[10, 10, -5, 7, 27, 19, 13, 20]","[6, 5, 2, 5, 28, 16, 15, 22]","[10, 12, -6, 9, 26, 18, 12, 20]"
0,-8,-128.0,-328,"[36, 9, 30, 10, -4, -18, -5, 50]","[15, 46, -2, 10, 0, -1, -4, 26]","[-31, 43, 49, 44, -9, -11, 6, 41]","[13, 39, -28, 34, 48, -6, 34, 7]","[49, 30, -27, 24, 14, 8, -49, 5]","[8, -21, 47, 38, 30, 50, -41, 40]","[23, -7, 28, 14, -33, 9, 48, -47]","[14, -15, 44, -43, 26, -7, 5, -16]","[-38, -20, -24, 9, 23, -3, 9, 35]","[31, -26, -18, 48, -34, 30, -6, -40]"
1,-5,-113.5,-303,"[-24, 36, 33, 45, 7, -14, 13, 9]","[36, 9, 30, 10, -4, -18, -5, 50]","[4, 36, -16, 17, 30, -16, 36, 1]","[10, 44, 1, 5, -3, -7, 2, 21]","[-5, 14, 21, 46, -19, 6, 1, 7]","[5, 3, 10, 46, -24, 13, -1, -6]","[36, 20, -33, 33, -8, -5, -15, -10]","[16, -11, 21, 7, -24, 9, 34, -38]","[-5, -17, 19, -24, 25, -6, 6, 3]","[-14, 31, 6, -15, -4, -35, 40, -9]"
2,-5,-124.7,-292,"[-24, 36, 33, 45, 7, -14, 13, 9]","[4, 35, -16, 17, 30, -16, 35, 1]","[-5, 14, 20, 46, -20, 5, 2, 6]","[5, 36, -3, 2, -3, -8, 5, 20]","[-7, 2, -6, 0, 17, 9, 3, 10]","[-9, -8, 8, 13, -3, 4, 6, 3]","[24, 12, -26, 24, -1, -5, -10, -4]","[4, -8, 13, 6, -14, 0, 27, -27]","[-16, -16, -1, -7, 22, -4, 7, 14]","[-10, -8, 5, 11, -2, 9, -14, 2]"
3,-5,-109.75,-181,"[-24, 36, 33, 45, 7, -14, 13, 9]","[2, 28, -14, 14, 27, -11, 29, 3]","[-17, 26, 15, 42, -7, -17, 19, 0]","[11, 28, -11, 9, -2, -7, 0, 12]","[-5, 9, -8, 3, 20, 4, 9, 8]","[18, 20, -18, 17, -2, -6, -5, 4]","[-8, 13, -9, 39, -27, -21, 28, -13]","[-8, -13, 4, -2, 8, -2, 15, -2]","[-4, -11, 8, 1, 0, -2, 19, -11]","[-10, -8, -9, 9, 4, -10, 16, 3]"
4,-5,-91.35,-181,"[-24, 36, 33, 45, 7, -14, 13, 9]","[2, 28, -14, 14, 25, -11, 27, 3]","[11, 28, -11, 9, 0, -7, 2, 12]","[-11, 9, 12, 23, -4, -10, 19, -5]","[3, 5, -6, 9, 4, 10, 10, -3]","[9, 23, -13, 13, -5, -9, 5, 8]","[-10, 6, 11, 20, -3, -9, 19, -6]","[16, 17, -16, 15, -1, -6, -3, 3]","[6, 4, -4, 9, -1, -4, 8, -4]","[11, 13, -17, 12, 1, -6, -7, 3]"
5,-5,-98.35,-152,"[-24, 36, 33, 45, 7, -14, 13, 9]","[-5, 7, 7, 18, -3, -8, 15, -5]","[0, 6, 1, 14, -2, -6, 12, -4]","[1, 2, -8, 9, 2, 7, 9, -4]","[-1, 5, -2, 11, 0, -6, 7, -3]","[11, 13, -17, 12, 1, -6, -7, 3]","[8, 9, -14, 10, 2, -5, -3, 2]","[-12, 5, 2, 15, 2, -9, 4, -1]","[-3, -6, -1, 2, 6, -3, 9, 0]","[-6, -3, 1, 13, -6, -8, 20, -8]"
